,Unnamed: 0,img_pair,question,img1,img2,answer,survey,observer,is_redundant,img1_fname,img2_fname,answer_fname,network,dataset
34,34,s41-q987-im53-im165-impicker,987,53,165,53,41,2,False,001202-saunet-chase.png,001202-iternet-chase.png,001202-saunet-chase.png,saunet,chase
35,35,s41-q980-im53-im213-impicker,980,53,213,213,41,2,True,001202-saunet-chase.png,001202-eswanet-chase.png,001202-eswanet-chase.png,eswanet,chase
36,36,s41-q976-im53-im223-impicker,976,53,223,223,41,2,True,001202-saunet-chase.png,001202-vesselunet-chase.png,001202-vesselunet-chase.png,vesselunet,chase
37,37,s41-q992-im37-im213-impicker,992,37,213,213,41,2,False,001202-iternet_uni-chase.png,001202-eswanet-chase.png,001202-eswanet-chase.png,eswanet,chase
38,38,s41-q1006-im37-im213-impicker,1006,37,213,213,41,2,True,001202-iternet_uni-chase.png,001202-eswanet-chase.png,001202-eswanet-chase.png,eswanet,chase
39,39,s41-q975-im37-im165-impicker,975,37,165,165,41,2,True,001202-iternet_uni-chase.png,001202-iternet-chase.png,001202-iternet-chase.png,iternet,chase
40,40,s41-q968-im53-im151-impicker,968,53,151,151,41,2,True,001202-saunet-chase.png,001202-unet-chase.png,001202-unet-chase.png,unet,chase
41,41,s41-q989-im45-im53-impicker,989,45,53,53,41,2,False,001202-vgan-chase.png,001202-saunet-chase.png,001202-saunet-chase.png,saunet,chase
42,42,s41-q982-im45-im111-impicker,982,45,111,111,41,4,False,001202-vgan-chase.png,001202-laddernet-chase.png,001202-laddernet-chase.png,laddernet,chase
43,43,s41-q986-im37-im53-impicker,986,37,53,53,41,4,False,001202-iternet_uni-chase.png,001202-saunet-chase.png,001202-saunet-chase.png,saunet,chase
44,44,s41-q985-im111-im213-impicker,985,111,213,213,41,4,False,001202-laddernet-chase.png,001202-eswanet-chase.png,001202-eswanet-chase.png,eswanet,chase
45,45,s41-q983-im111-im151-impicker,983,111,151,151,41,4,False,001202-laddernet-chase.png,001202-unet-chase.png,001202-unet-chase.png,unet,chase
46,46,s41-q977-im45-im151-impicker,977,45,151,151,41,4,False,001202-vgan-chase.png,001202-unet-chase.png,001202-unet-chase.png,unet,chase
