survey_id,question_id,image_id,dataset,filename,type,disease_token
1,37,48,DRIVE,000017-min-vesselunet-drive.png,segmap,normal
1,37,11,originals,000017.png,original,normal
1,38,48,DRIVE,000017-min-vesselunet-drive.png,segmap,normal
1,38,57,DRIVE,000017-min-eswanet-drive.png,segmap,normal
1,38,11,originals,000017.png,original,normal
1,39,61,DRIVE,000017-min-laddernet-drive.png,segmap,normal
1,39,66,DRIVE,000017-min-iternet_uni-drive.png,segmap,normal
1,39,11,originals,000017.png,original,normal
1,40,57,DRIVE,000017-min-eswanet-drive.png,segmap,normal
1,40,66,DRIVE,000017-min-iternet_uni-drive.png,segmap,normal
1,40,11,originals,000017.png,original,normal
1,41,45,DRIVE,000017-min-saunet-drive.png,segmap,normal
1,41,61,DRIVE,000017-min-laddernet-drive.png,segmap,normal
1,41,11,originals,000017.png,original,normal
1,42,45,DRIVE,000017-min-saunet-drive.png,segmap,normal
1,42,66,DRIVE,000017-min-iternet_uni-drive.png,segmap,normal
1,42,11,originals,000017.png,original,normal
2,43,31,DRIVE,000021-median-max-vgan-drive.png,segmap,normal
2,43,38,DRIVE,000021-median-max-laddernet-drive.png,segmap,normal
2,43,16,originals,000021.png,original,normal
2,44,41,DRIVE,000021-median-max-unet-drive.png,segmap,normal
2,44,67,DRIVE,000021-median-max-iternet_uni-drive.png,segmap,normal
2,44,16,originals,000021.png,original,normal
2,45,39,DRIVE,000021-median-max-eswanet-drive.png,segmap,normal
2,45,67,DRIVE,000021-median-max-iternet_uni-drive.png,segmap,normal
2,45,16,originals,000021.png,original,normal
2,46,34,DRIVE,000021-median-max-vesselunet-drive.png,segmap,normal
2,46,41,DRIVE,000021-median-max-unet-drive.png,segmap,normal
2,46,16,originals,000021.png,original,normal
2,47,50,DRIVE,000021-median-max-saunet-drive.png,segmap,normal
2,47,65,DRIVE,000021-median-max-iternet-drive.png,segmap,normal
2,47,16,originals,000021.png,original,normal
2,48,50,DRIVE,000021-median-max-saunet-drive.png,segmap,normal
2,48,65,DRIVE,000021-median-max-iternet-drive.png,segmap,normal
2,48,16,originals,000021.png,original,normal
2,49,39,DRIVE,000021-median-max-eswanet-drive.png,segmap,normal
2,49,50,DRIVE,000021-median-max-saunet-drive.png,segmap,normal
2,49,16,originals,000021.png,original,normal
2,50,31,DRIVE,000021-median-max-vgan-drive.png,segmap,normal
2,50,50,DRIVE,000021-median-max-saunet-drive.png,segmap,normal
2,50,16,originals,000021.png,original,normal
2,51,38,DRIVE,000021-median-max-laddernet-drive.png,segmap,normal
2,51,65,DRIVE,000021-median-max-iternet-drive.png,segmap,normal
2,51,16,originals,000021.png,original,normal
2,52,38,DRIVE,000021-median-max-laddernet-drive.png,segmap,normal
2,52,41,DRIVE,000021-median-max-unet-drive.png,segmap,normal
2,52,16,originals,000021.png,original,normal
2,53,31,DRIVE,000021-median-max-vgan-drive.png,segmap,normal
2,53,65,DRIVE,000021-median-max-iternet-drive.png,segmap,normal
2,53,16,originals,000021.png,original,normal
2,54,31,DRIVE,000021-median-max-vgan-drive.png,segmap,normal
2,54,39,DRIVE,000021-median-max-eswanet-drive.png,segmap,normal
2,54,16,originals,000021.png,original,normal
2,55,50,DRIVE,000021-median-max-saunet-drive.png,segmap,normal
2,55,67,DRIVE,000021-median-max-iternet_uni-drive.png,segmap,normal
2,55,16,originals,000021.png,original,normal
2,56,39,DRIVE,000021-median-max-eswanet-drive.png,segmap,normal
2,56,67,DRIVE,000021-median-max-iternet_uni-drive.png,segmap,normal
2,56,16,originals,000021.png,original,normal
2,57,34,DRIVE,000021-median-max-vesselunet-drive.png,segmap,normal
2,57,39,DRIVE,000021-median-max-eswanet-drive.png,segmap,normal
2,57,16,originals,000021.png,original,normal
2,58,31,DRIVE,000021-median-max-vgan-drive.png,segmap,normal
2,58,38,DRIVE,000021-median-max-laddernet-drive.png,segmap,normal
2,58,16,originals,000021.png,original,normal
2,59,38,DRIVE,000021-median-max-laddernet-drive.png,segmap,normal
2,59,67,DRIVE,000021-median-max-iternet_uni-drive.png,segmap,normal
2,59,16,originals,000021.png,original,normal
2,60,39,DRIVE,000021-median-max-eswanet-drive.png,segmap,normal
2,60,65,DRIVE,000021-median-max-iternet-drive.png,segmap,normal
2,60,16,originals,000021.png,original,normal
2,61,38,DRIVE,000021-median-max-laddernet-drive.png,segmap,normal
2,61,50,DRIVE,000021-median-max-saunet-drive.png,segmap,normal
2,61,16,originals,000021.png,original,normal
2,62,41,DRIVE,000021-median-max-unet-drive.png,segmap,normal
2,62,65,DRIVE,000021-median-max-iternet-drive.png,segmap,normal
2,62,16,originals,000021.png,original,normal
2,63,34,DRIVE,000021-median-max-vesselunet-drive.png,segmap,normal
2,63,38,DRIVE,000021-median-max-laddernet-drive.png,segmap,normal
2,63,16,originals,000021.png,original,normal
2,64,41,DRIVE,000021-median-max-unet-drive.png,segmap,normal
2,64,50,DRIVE,000021-median-max-saunet-drive.png,segmap,normal
2,64,16,originals,000021.png,original,normal
2,65,39,DRIVE,000021-median-max-eswanet-drive.png,segmap,normal
2,65,65,DRIVE,000021-median-max-iternet-drive.png,segmap,normal
2,65,16,originals,000021.png,original,normal
2,66,31,DRIVE,000021-median-max-vgan-drive.png,segmap,normal
